"meteorite_name","recclass","mass_g","impact_year"
"Derrick Peak 88022","Iron, IIAB","110",1988
"Derrick Peak 88023","Iron, IIAB","76",1988
"Derrick Peak 88024","Iron, IIAB","292",1988
"Derrick Peak 88025","Iron, IIAB","1797",1988
"Derrick Peak A78001","Iron, IIAB","15200",1978
"Derrick Peak A78002","Iron, IIAB","7188",1978
"Derrick Peak A78003","Iron, IIAB","144.2",1978
"Derrick Peak A78004","Iron, IIAB","133.6",1978
"Derrick Peak A78005","Iron, IIAB","18600",1978
"Derrick Peak A78006","Iron, IIAB","389.3",1978
"Derrick Peak A78007","Iron, IIAB","11800",1978
"Derrick Peak A78008","Iron, IIAB","59400",1978
"Derrick Peak A78009","Iron, IIAB","138100",1978
"Derrick Peak A78011","Iron, IIAB","31800",1978
"Derrick Peak A78012","Iron, IIAB","26000",1978
"Derrick Peak A78013","Iron, IIAB","10600",1978
"Derrick Peak A78014","Iron, IIAB","2250",1978
"Derrick Peak A78015","Iron, IIAB","1260",1978
"Derrick Peak A78016","Iron, IIAB","750",1978
"Desert Willow","H4/5","11.3",2007
"Devil Peak","L6","34.7",1999
"Dexter","Iron, IIIAB","1724",1889
"Dhofar 001","L6","46",1999
"Dhofar 002","L5","36",1999
"Dhofar 003","H4","65",1999
"Dhofar 004","H5","163",1999
"Dhofar 005","L6","125500",2000
"Dhofar 006","L5","364.5",1999
"Dhofar 007","Eucrite-cm","21270",1999
"Dhofar 008","L3.3","2200",1999
"Dhofar 009","L6","2102",1999
"Dhofar 010","H6","3527.6",1999
"Dhofar 011","LL7","150",1999
"Dhofar 012","L4","4472",2000
"Dhofar 013","H4","1070",2000
"Dhofar 014","LL7","414",2000
"Dhofar 015","CK3","184",2000
"Dhofar 016","H4","22",2000
"Dhofar 017","H4","1736",2000
"Dhofar 018","Howardite","833",2000
"Dhofar 1047","H4/5","296",2000
"Dhofar 019","Martian (shergottite)","1056",2000
"Dhofar 020","H4/5","256000",2000
"Dhofar 021","H5/6","2534",2000
"Dhofar 022","H3.9","110",2000
"Dhofar 023","H5","118",2000
"Dhofar 024","H3.9","164",2000
"Dhofar 025","Lunar (anorth)","751",2000
"Dhofar 026","Lunar (anorth)","148",2000
"Dhofar 027","L6","623",1999
"Dhofar 028","H5-6","34",1999
"Dhofar 029","H6","2792",1999
"Dhofar 030","H6","255",1999
"Dhofar 031","L6","444",1999
"Dhofar 032","L6","4002",1999
"Dhofar 033","L5","218",1999
"Dhofar 034","H5","61",1999
"Dhofar 035","H6","326",1999
"Dhofar 036","L6","1587",1999
"Dhofar 037","H5","1024",1999
"Dhofar 038","H5","126",1999
"Dhofar 039","H6","111",1999
"Dhofar 040","H6","147",1999
"Dhofar 041","H5","2356",1999
"Dhofar 042","L6","148",1999
"Dhofar 043","H5","1491",1999
"Dhofar 044","L5","784",1999
"Dhofar 045","H6","264",1999
"Dhofar 046","H4","1177",1999
"Dhofar 047","L5/6","102",1999
"Dhofar 048","H5","203",1999
"Dhofar 049","L4/5","2164",1999
"Dhofar 050","L5","300",1999
"Dhofar 051","L5","67",1999
"Dhofar 052","L6","108",1999
"Dhofar 053","H5","90",1999
"Dhofar 054","H4","985",1999
"Dhofar 055","Eucrite","235",1999
"Dhofar 056","H6","37",1999
"Dhofar 057","L6","4588",1999
"Dhofar 058","H4","8852",1999
"Dhofar 059","L6","495",1999
"Dhofar 060","H5","33",1999
"Dhofar 061","L5","186",1999
"Dhofar 062","L4/5","275",1999
"Dhofar 063","H5","160",1999
"Dhofar 064","H6","14",1999
"Dhofar 065","H5","565",1999
"Dhofar 066","H5/6","1001",1999
"Dhofar 067","H4","229",1999
"Dhofar 068","L6","250",1999
"Dhofar 069","H4","10083",1999
"Dhofar 070","L6","89",1999
"Dhofar 071","L6","135",1999
"Dhofar 072","H5","112",1999
"Dhofar 073","H5","161",1999
"Dhofar 074","H4","2005",1999
"Dhofar 075","H5/6","70",1999
"Dhofar 076","H6","2876",1999
"Dhofar 077","H4","580",1999
"Dhofar 078","H6","68",1999
"Dhofar 079","H3","130",1999
"Dhofar 080","H4","112",1999
"Dhofar 081","Lunar (anorth)","174",1999
"Dhofar 082","H6","90",1999
"Dhofar 083","L4","192",1999
"Dhofar 084","L6","38",1999
"Dhofar 085","H4","78",1999
"Dhofar 086","H4","664",1999
"Dhofar 087","L6","340",1999
"Dhofar 088","L6","36",1999
"Dhofar 089","H6","152",1999
"Dhofar 090","H4","690",1999
"Dhofar 091","H5","946",1999
"Dhofar 092","L6","54",1999
"Dhofar 093","L6","220",1999
"Dhofar 094","L5","4395",1999
"Dhofar 095","H3","1095",1999
"Dhofar 096","L5","640",1999
"Dhofar 097","H4","44",1999
"Dhofar 098","H5","1185",1999
"Dhofar 099","L5","504",1999
"Dhofar 100","L5","2551",1999
"Dhofar 1000","H4","527.35",1998
"Dhofar 1001","L6","606.97",1998
"Dhofar 1002","L6","61.82",2001
"Dhofar 1003","H5","7.61",2001
"Dhofar 1004","H3","113.68",2001
"Dhofar 1005","H3","35.37",2001
"Dhofar 1006","L6","155.67",2002
"Dhofar 1007","L4","87.77",2003
"Dhofar 1008","L5","76.45",2002
"Dhofar 1009","L4","334.23",2003
"Dhofar 101","L6","386",1999
"Dhofar 1010","H4","2298.4",2002
"Dhofar 1011","L3","292.8",2002
"Dhofar 1012","L6","144.87",2002
"Dhofar 1013","L4","194.05",2003
"Dhofar 1014","L4","298.27",2002
"Dhofar 1015","EH4","63.53",2002
"Dhofar 1016","L5","125.21",2003
"Dhofar 1017","H4","273.3",2002
"Dhofar 1018","H5","506",2001
"Dhofar 1019","H5/6","194",2001
"Dhofar 102","L6","394",1999
"Dhofar 1020","H6","105",2001
"Dhofar 1021","L3","61",2001
"Dhofar 1022","H(L)3-an","271",2001
"Dhofar 1023","L(LL)3","69.7",2001
"Dhofar 1024","H5/6","1173",2002
"Dhofar 1025","L6","39",2002
"Dhofar 1026","H6","10500",2003
"Dhofar 1027","H5/6","14944",2003
"Dhofar 1028","L5","183.1",2003
"Dhofar 1029","H5","2516.2",2003
"Dhofar 103","L4","188",1999
"Dhofar 1030","H5","281.1",2003
"Dhofar 1031","L5","492.6",2003
"Dhofar 1032","L4/5","81.1",2003
"Dhofar 1033","H6","67.8",2003
"Dhofar 1034","L6","489.8",2003
"Dhofar 1035","H(L)3","420.1",2003
"Dhofar 1036","LL6","61.5",2003
"Dhofar 1037","H5/6","26.4",2003
"Dhofar 1038","L6","886.2",2003
"Dhofar 1039","H6","296",2000
"Dhofar 104","L6","654",1999
"Dhofar 1040","H5","361",2000
"Dhofar 1041","H6","215",2000
"Dhofar 1042","H6","332",2000
"Dhofar 1043","H4/5","205",2000
"Dhofar 1044","L5/6","208",2000
"Dhofar 1045","H5/6","170",2000
"Dhofar 1046","H5/6","248",2000
"Dhofar 1048","H5/6","267",2000
"Dhofar 1049","L5","121",2000
"Dhofar 105","H5","2984",1999
"Dhofar 1050","H5","76",2000
"Dhofar 1051","L4/5","38",2000
"Dhofar 1052","L6","41",2000
"Dhofar 1053","H4/5","44.5",2000
"Dhofar 1054","H3-6","65",2000
"Dhofar 1055","H4/5","114",2000
"Dhofar 1056","LL6","54",2000
"Dhofar 1057","L6","28",2000
"Dhofar 1058","H4/5","41",2000
"Dhofar 1059","L5/6","149",2000
"Dhofar 106","H6","725",2000
"Dhofar 1060","H5","195",2000
"Dhofar 1061","L6","66",2000
"Dhofar 1062","L6","43",2000
"Dhofar 1063","H6","38",2000
"Dhofar 1064","L6","105",2000
"Dhofar 1065","H5","753",2000
"Dhofar 1066","H5/6","305",2000
"Dhofar 1067","H4-6","96",2000
"Dhofar 1068","L4/5","52",2000
"Dhofar 1069","LL5","182",2000
"Dhofar 107","L6","50",2000
"Dhofar 1070","H6","308",2000
"Dhofar 1071","L6","4180",2000
"Dhofar 1072","LL6","680.5",2000
"Dhofar 1074","H5","1150",2001
"Dhofar 1075","L6","76.5",2001
"Dhofar 1076","H3-5","243",2001
"Dhofar 1077","L5/6","118.9",2001
"Dhofar 1078","H5/6","72.2",2001
"Dhofar 1079","H4/5","2132",2001
"Dhofar 108","L4/5","913",2000
"Dhofar 1080","H3","127.2",2001
"Dhofar 1081","L5","833",2001
"Dhofar 1082","H4/5","2493.5",2001
"Dhofar 1083","L6","257.8",2001
"Dhofar 1084","Lunar (anorth)","90",2003
"Dhofar 1085","Lunar (anorth)","197",2003
"Dhofar 1086","L6","4.7",2004
"Dhofar 1087","L~5","3.4",2004
"Dhofar 1088","L~6","470",2004
"Dhofar 109","L6","2209",2000
"Dhofar 110","H6","1287",2000
"Dhofar 1103","H4","316",2004
"Dhofar 111","L5","114",2000
"Dhofar 1113","H3","702",2004
"Dhofar 112","L6","201",2000
"Dhofar 1127","LL6","173",2005
"Dhofar 1128","Ureilite","186",2005
"Dhofar 113","L6","356",2000
"Dhofar 1130","H4","3420",2005
"Dhofar 1131","LL4","661",2005
"Dhofar 1136","H5","356",2005
"Dhofar 1139","LL6","445",2005
"Dhofar 114","L6","184",2000
"Dhofar 1144","LL5","328",2005
"Dhofar 1148","L4","426",2005
"Dhofar 115","H4","487",2000
"Dhofar 1154","LL6","952",2005
"Dhofar 1156","H4","108",2005
"Dhofar 116","L5","403",2000
"Dhofar 1168","L4","60.8",2005
"Dhofar 117","H5","385",2000
"Dhofar 1170","Ureilite","501",2005
"Dhofar 1176","LL4","849",2005
"Dhofar 1178","LL4","732",2005
"Dhofar 118","H6","598",2000
"Dhofar 1180","Lunar","115.2",2005
"Dhofar 1181","H5","1812",2005
"Dhofar 119","L5","586",2000
"Dhofar 1190","H4","35",2002
"Dhofar 1191","L5","174",2003
"Dhofar 1193","H6","14",2004
"Dhofar 1194","H4","124",2004
"Dhofar 1195","H5","650",2004
"Dhofar 1196","L6","422",2004
"Dhofar 1197","L6","24",2004
"Dhofar 120","H4","240",2000
"Dhofar 121","L6","220",2000
"Dhofar 122","L6","1556",2000
"Dhofar 1221","H5","58",2003
"Dhofar 1222","Acapulcoite","93",2003
"Dhofar 1223","R3","81.4",2004
"Dhofar 1224","Lunar (anorth)","4.57",2003
"Dhofar 1226","L5","1040",2005
"Dhofar 123","H6","1159",2000
"Dhofar 1232","H4","1088",2005
"Dhofar 124","H6","63",2000
"Dhofar 1243","LL4","2510",2005
"Dhofar 125","Acapulcoite","2697",2000
"Dhofar 1250","L3.8","142",2005
"Dhofar 1251","LL6","1905",2005
"Dhofar 126","LL6","132",2000
"Dhofar 1261","LL6","445.6",2005
"Dhofar 1269","Diogenite-pm","42",2005
"Dhofar 127","H4","1349",2000
"Dhofar 1272","LL4","1883",2005
"Dhofar 1275","L7","4999",2003
"Dhofar 1277","CM2","10",2005
"Dhofar 1278","H6","117",2005
"Dhofar 1279","L6","1588",2005
"Dhofar 128","H6","30",2000
"Dhofar 1280","H6","4473",2005
"Dhofar 1281","L6","140",2005
"Dhofar 1282","L5","582",2005
"Dhofar 1283","L5","502",2005
"Dhofar 1284","L5/6","558",2005
"Dhofar 1285","Ureilite","406",2002
"Dhofar 1286","Eucrite-pmict","898",2005
"Dhofar 1288","H5","43600",2004
"Dhofar 1289","L4","37000",2004
"Dhofar 129","L6","1240",2000
"Dhofar 1290","LL4","1211.3",2004
"Dhofar 1291","H3.9","66",2001
"Dhofar 1292","H3.9","26",2001
"Dhofar 1293","H3.9","69",2001
"Dhofar 1294","L/LL5","86",2003
"Dhofar 1295","L/LL6","30",2003
"Dhofar 1296","L5","48",2002
"Dhofar 1297","H5","184",2001
"Dhofar 1298","H5","52",2002
"Dhofar 1299","H6","20",2002
"Dhofar 130","L5","206",2000
"Dhofar 1300","H6","42",2002
"Dhofar 1302","Howardite","23.9",2005
"Dhofar 1303","Ureilite","404",2002
"Dhofar 1304","H5","85",2005
"Dhofar 1305","H5","34",2005
"Dhofar 1306","L4","104",2004
"Dhofar 1307","H4","90",2005
"Dhofar 1308","H5","192",2004
"Dhofar 1309","H4","204",2004
"Dhofar 131","H5/6","9680",2000
"Dhofar 1310","L5","76",2002
"Dhofar 1311","H5","66",2005
"Dhofar 1312","L/LL4","86",2002
"Dhofar 1313","H6","154",2004
"Dhofar 1314","H5","104",2004
"Dhofar 1315","L/LL5","12",2001
"Dhofar 1316","L/LL6","30",2003
"Dhofar 1317","L6","12",2001
"Dhofar 132","Ureilite","5010",2000
"Dhofar 133","L4","224",2000
"Dhofar 134","H6","868",2000
"Dhofar 135","H4","1495",2000
"Dhofar 136","L6","324",2000
"Dhofar 137","L6","236",2000
"Dhofar 138","L6","5640",2000
"Dhofar 139","L6","1815",2000
"Dhofar 140","L5","3170",2000
"Dhofar 1400","L6","315.5",2003
"Dhofar 1401","LL~6","42.03",2001
"Dhofar 1402","L~6","8.94",2001
"Dhofar 1403","L~5","93.05",2001
"Dhofar 1404","L~6","67.48",2001
"Dhofar 1405","L~6","11.53",2001
"Dhofar 1406","L~6","42.46",2001
"Dhofar 1407","L~6","27.64",2001
"Dhofar 1408","L~5","81.93",2001
"Dhofar 1409","L~5","128.96",2001
"Dhofar 141","LL4","160",2000
"Dhofar 1410","L~6","30.45",2001
"Dhofar 1411","L~5","12.09",2001
"Dhofar 1412","L~6","38.13",2001
"Dhofar 1413","L~6","40.2",2001
"Dhofar 1414","L~6","45.59",2001
"Dhofar 1415","L~5","61.4",2001
"Dhofar 1416","L~6","49.74",2001
"Dhofar 1417","L~5","5.52",2001
"Dhofar 1418","L~6","78.44",2001
"Dhofar 1419","L~6","47.14",2001
"Dhofar 142","L4","1835",2000
"Dhofar 1420","L~5","81.81",2001
"Dhofar 1421","H~5","110.8",2001
"Dhofar 1422","H~5","35.22",2001
"Dhofar 1423","L~6","53.58",2001
"Dhofar 1424","H~6","53.39",2001
"Dhofar 1425","H~6","106.63",2001
"Dhofar 1426","H~5","42850",2001
"Dhofar 1427","Ureilite","12.92",2001
"Dhofar 1428","Lunar","213",2006
"Dhofar 1429","Eucrite-mmict","89",2006
"Dhofar 143","H5","1785",2000
"Dhofar 1430","CK3","134",2006
"Dhofar 1431","LL6","189",2006
"Dhofar 1432","CR2","76",2006
"Dhofar 1433","H5","44790",2006
"Dhofar 1434","CM-an","42",2007
"Dhofar 1435","H5","11.7",2007
"Dhofar 1436","Lunar","24.2",2004
"Dhofar 1437","H5","324",2003
"Dhofar 1438","L6","54",2003
"Dhofar 1439","Eucrite-mmict","5132",2003
"Dhofar 144","H5","630",2000
"Dhofar 1440","Eucrite-pmict","30",2003
"Dhofar 1441","Achondrite-ung","267.8",2003
"Dhofar 1442","Lunar","106.5",2005
"Dhofar 1443","Lunar","36.7",2001
"Dhofar 1445","LL5","442",2003
"Dhofar 1446","H5","198.9",2003
"Dhofar 1447","H~4","49.4",2002
"Dhofar 1448","L~6","3110",2002
"Dhofar 1449","L/LL~6","1959",2002
"Dhofar 145","H5","666",2000
"Dhofar 1450","LL~6","5.4",2008
"Dhofar 1451","H~5","570",2008
"Dhofar 1452","L~6","163",2008
"Dhofar 1453","L/LL~5","402.4",2008
"Dhofar 1455","LL5","488.9",2008
"Dhofar 1456","H~5","90.2",2008
"Dhofar 1457","H~5","11.4",2008
"Dhofar 1458","L~5","428",2008
"Dhofar 1459","H5","50.4",2008
"Dhofar 146","L6","8795",2000
"Dhofar 1460","L~6","40.5",2008
"Dhofar 1461","L~6","44.7",2008
"Dhofar 1462","L~4","400.8",2008
"Dhofar 1463","L/LL~4","23.6",2008
"Dhofar 1464","H~5","68.5",2008
"Dhofar 1465","L~6","236.6",2008
"Dhofar 1466","L~6","268",2008
"Dhofar 1467","L~5","1305.1",2008
"Dhofar 1468","H~5","65.6",2008
"Dhofar 1469","L~6","110",2008
"Dhofar 147","L4","200",2000
"Dhofar 1470","H~5","51.6",2008
"Dhofar 1471","H~5","760",2008
"Dhofar 1472","LL6","1064.1",2008
"Dhofar 1473","L/LL~6","131.2",2008
"Dhofar 1474","L~6","388.7",2008
"Dhofar 1475","L~6","1039.2",2008
"Dhofar 1476","H3","28.9",2008
"Dhofar 1479","H5/6","132",2003
"Dhofar 148","L6","5432",2000
"Dhofar 1480","Eucrite-pmict","57.7",2003
"Dhofar 1481","Eucrite-pmict","27.6",2003
"Dhofar 1482","Eucrite-pmict","2.5",2003
"Dhofar 1483","Eucrite-pmict","4.1",2003
"Dhofar 1484","Eucrite-pmict","79.4",2003
"Dhofar 1485","Eucrite-pmict","4.8",2003
"Dhofar 1486","Eucrite-pmict","12.2",2003
"Dhofar 1487","Eucrite-pmict","15.7",2003
"Dhofar 1488","Eucrite-pmict","3.9",2003
"Dhofar 1489","Eucrite-pmict","25.7",2003
"Dhofar 149","L4","216",2000
"Dhofar 1490","H5-6","309",2008
"Dhofar 1491","L4-6","256",2008
"Dhofar 1492","H3","510",2008
"Dhofar 1493","L6","14000",2008
"Dhofar 1494","H4","1400",2008
"Dhofar 1495","L4","2300",2008
"Dhofar 1496","LL(L)3","1000",2008
"Dhofar 1497","L3-5","1856",2008
"Dhofar 1498","H~6","54.8",2009
"Dhofar 1499","H~5","68.3",2009
"Dhofar 150","H4","356",2000
"Dhofar 1500","L~6","2448",2009
"Dhofar 1501","H~5","10.6",2009
"Dhofar 1502","H~5","17",2009
"Dhofar 1503","H~5","16.9",2009
"Dhofar 1504","L~5","208.2",2009
"Dhofar 1505","L~6","222.2",2009
"Dhofar 1506","L~6","362.2",2009
"Dhofar 1507","L~6","2400",2009
"Dhofar 1508","L~5","1645",2009
"Dhofar 1509","H~4","48.7",2009
"Dhofar 151","LL5-6","79",2000
"Dhofar 1510","L~6","118.7",2009
"Dhofar 1511","L~5","17973",2009
"Dhofar 1513","L5","3782",2009
"Dhofar 1514","R3.6","1749",2008
"Dhofar 1515","H6","1450",2008
"Dhofar 1516","H5","1134",2008
"Dhofar 1517","H5","1064",2008
"Dhofar 1518","H4","450",2008
"Dhofar 1519","Ureilite","388",2008
"Dhofar 152","H6","554",2000
"Dhofar 1520","H4","1490",2008
"Dhofar 1521","L6","1940",2008
"Dhofar 1522","H6","625",2008
"Dhofar 1523","L4","234",2008
"Dhofar 1524","H5","4652",2008
"Dhofar 1525","H4","6476",2008
"Dhofar 1526","H4","71.1",2008
"Dhofar 1527","Lunar (feldsp. breccia)","42.6",2009
"Dhofar 1528","Lunar (feldsp. breccia)","213.2",2009
"Dhofar 1529","H3.2","175",2006
"Dhofar 153","H6","1025",2000
"Dhofar 1530","H6","2118",2006
"Dhofar 1531","L6","2100",2006
"Dhofar 1532","H4","487",2006
"Dhofar 1533","LL5","341",2006
"Dhofar 1534","H4","3045",2006
"Dhofar 1535","H6","2008",2006
"Dhofar 1536","H6","176",2006
"Dhofar 1537","L6","48",2006
"Dhofar 1538","L3.7","231",2006
"Dhofar 1539","H4","1614",2006
"Dhofar 154","H5","1045",2000
"Dhofar 1540","H3.9","2481",2006
"Dhofar 1541","H6","398",2006
"Dhofar 1542","L6","500",2008
"Dhofar 1543","H4","1734",2008
"Dhofar 1544","L4","2808",2008
"Dhofar 1545","H4","1013",2008
"Dhofar 1546","L5","119",2008
"Dhofar 1547","H4","380",2008
"Dhofar 1548","L6","4070",2008
"Dhofar 1549","LL3.4","67",2008
"Dhofar 155","L6","552",2000
"Dhofar 1550","H4","624",2008
"Dhofar 1551","H6","451",2008
"Dhofar 1552","L-melt breccia","454",2008
"Dhofar 1553","H4","1006",2009
"Dhofar 1554","L5","3954",2009
"Dhofar 1555","H4","605",2009
"Dhofar 1556","H4","1722",2009
"Dhofar 1557","L6","432",2009
"Dhofar 1558","L4","11400",2009
"Dhofar 156","L5","1780",2000
"Dhofar 1562","L6","7550",2004
"Dhofar 1563","H5","70",2004
"Dhofar 1564","H5","26",2004
"Dhofar 1565","H5","43000",2008
"Dhofar 1566","LL5-6","605",2008
"Dhofar 1567","L4","341",2009
"Dhofar 1568","H4","1460",2009
"Dhofar 1569","L6","345",2005
"Dhofar 157","H5","5300",2000
"Dhofar 1570","H5","948",2006
"Dhofar 1571","Ureilite","154",2006
"Dhofar 1575","Ureilite","2800",2009
"Dhofar 1576","L5","7700",2010
"Dhofar 1577","H5","530",2008
"Dhofar 1578","H5","231.1",2009
"Dhofar 1579","L6","314.3",2009
"Dhofar 158","H4","69.7",2000
"Dhofar 1580","LL6","1503",2004
"Dhofar 1581","H5","488",2004
"Dhofar 1582","L5","276",2004
"Dhofar 1583","H5","510",2004
"Dhofar 1584","H5","194",2004
"Dhofar 1585","L5","256",2004
"Dhofar 1586","H5","78",2004
"Dhofar 1587","H5","36",2004
"Dhofar 1588","L5","1224",2004
"Dhofar 1589","H5","360",2004
"Dhofar 159","L6","315.1",2000
"Dhofar 1590","H5","996",2004
"Dhofar 1591","H5","556",2005
"Dhofar 1592","H5","274",2004
"Dhofar 1593","H5","1254",2004
"Dhofar 1594","H6-melt breccia","176",2004
"Dhofar 1595","L5","130",2004
"Dhofar 1596","H5-melt breccia","110",2004
"Dhofar 1597","H5","4558",2004
"Dhofar 1598","L6","766",2004
"Dhofar 1599","H5","240",2004
"Dhofar 160","H3","653.8",2000
"Dhofar 1601","L5","1166",2003
"Dhofar 161","L4","2506.1",2000
"Dhofar 1611","H5","1124",2003
"Dhofar 1612","CV3","124",2010
"Dhofar 1613","L5","8.6",2009
"Dhofar 1614","L5","12.5",2009
"Dhofar 1615","L5","129.8",2009
"Dhofar 1619","CM2","6.18",2007
"Dhofar 162","L6","1967",2000
"Dhofar 1623","Ureilite","890",2009
"Dhofar 1624","H-melt rock","621",2009
"Dhofar 1625","H~4","308.6",2009
"Dhofar 1626","Eucrite-an","223",2006
"Dhofar 1627","Lunar (feldsp. breccia)","86.1",2010
"Dhofar 1629","Lunar (bas/anor)","2.51",2007
"Dhofar 163","LL5","208",2000
"Dhofar 1630","H5","1357",2004
"Dhofar 1631","H5","3770",2004
"Dhofar 1632","L5","110",2004
"Dhofar 1633","H5","88",2004
"Dhofar 1634","H5","46",2004
"Dhofar 1635","H5","330",2004
"Dhofar 1636","L5","1078",2004
"Dhofar 1637","H5","44",2004
"Dhofar 1638","L5","1248",2004
"Dhofar 1639","L5","16",2004
"Dhofar 164","H6","911",2000
"Dhofar 1640","H5","144",2004
"Dhofar 1641","CO3","390",2009
"Dhofar 1642","H6","1540",2009
"Dhofar 1643","L6","122.2",2011
"Dhofar 1644","H6","11.8",2011
"Dhofar 1645","H6","48.5",2011
"Dhofar 1646","L6","66.9",2011
"Dhofar 1647","H6","444",2011
"Dhofar 1648","LL5/6","262",2011
"Dhofar 1649","L6","143",2011
"Dhofar 165","H6","92",2000
"Dhofar 1650","H6","930",2011
"Dhofar 1651","L6","2170",2011
"Dhofar 1652","L6","800",2011
"Dhofar 1653","H6","2724",2011
"Dhofar 1654","L5","50000",2011
"Dhofar 1655","L6","1218",2011
"Dhofar 1656","L6","420",2011
"Dhofar 1657","H6","883",2011
"Dhofar 1658","LL6","3150",2011
"Dhofar 1659","L6","3695",2011
"Dhofar 166","H6","97",2000
"Dhofar 1660","L6","256",2011
"Dhofar 1661","H6","63",2011
"Dhofar 1662","H6","545",2011
"Dhofar 1663","H5","422",2011
"Dhofar 1664","H6","2266",2011
"Dhofar 1665","L3","3687",2011
"Dhofar 1666","L4","1300",2011
"Dhofar 1668","Martian (shergottite)","6.1",2011
"Dhofar 1669","Lunar (feldsp. breccia)","3.3",2010
"Dhofar 167","H6","3636",2000
"Dhofar 1670","H4","590.1",2011
"Dhofar 1671","CV3","40.8",2011
"Dhofar 1672","L4","7.49",2011
"Dhofar 1673","Lunar (feldsp. breccia)","15.1",2011
"Dhofar 1674","Martian (shergottite)","49.2",2010
"Dhofar 1675","Eucrite-pmict","168",2004
"Dhofar 1676","H4","13.23",2011
"Dhofar 1677","H5","4388",2011
"Dhofar 1678","H6","13.02",2011
"Dhofar 1679","H4","184.3",2011
"Dhofar 168","LL3/4","1452",2000
"Dhofar 1680","H4","29.2",2011
"Dhofar 1681","H5","153",2011
"Dhofar 1682","L6","9.22",2011
"Dhofar 1683","H5","318.6",2011
"Dhofar 1684","H5","199.9",2011
"Dhofar 1685","H5","769.3",2011
"Dhofar 1686","H4","188.6",2011
"Dhofar 1687","L6","394.6",2011
"Dhofar 1688","L5","52.5",2011
"Dhofar 1689","H5","22.3",2011
"Dhofar 169","H6","243.1",2000
"Dhofar 1690","H5","700.5",2011
"Dhofar 1691","H5-6","105.5",2011
"Dhofar 1692","L6","1568",2011
"Dhofar 1693","L4","1049",2011
"Dhofar 1694","H6","740",2010
"Dhofar 1695","H6","326",2010
"Dhofar 1696","H6","936",2010
"Dhofar 1697","H6","387",2010
"Dhofar 1698","H6","450",2010
"Dhofar 1699","H4","172",2010
"Dhofar 170","H6","176.2",2000
"Dhofar 1700","L6","39000",2010
"Dhofar 1701","H5","984",2010
"Dhofar 1702","H6","537",2010
"Dhofar 1703","H6","193",2010
"Dhofar 1704","L6","128",2010
"Dhofar 1705","L6","319",2010
"Dhofar 1706","L6","589",2010
"Dhofar 1707","L6","463",2010
"Dhofar 1708","H5","124",2010
"Dhofar 1710","H6","800",2010
"Dhofar 1711","LL6","295",2010
"Dhofar 1712","L6","240",2010
"Dhofar 1713","L6","73",2010
"Dhofar 1714","L6","562",2010
"Dhofar 1715","H6","81",2010
"Dhofar 1716","H5","1540",2010
"Dhofar 1717","L3","211",2010
"Dhofar 1718","H6","75",2010
"Dhofar 1719","L6","461",2010
"Dhofar 172","H6","67.3",2000
"Dhofar 1720","L6","168",2010
"Dhofar 1721","H5","238",2010
"Dhofar 1722","H5","25000",2010
"Dhofar 1723","H6","536",2010
"Dhofar 1724","H4","1768",2010
"Dhofar 1725","L5","263",2011
"Dhofar 1726","H3","1050",2011
"Dhofar 1727","H6","453",2011
"Dhofar 1728","L6","1140",2011
"Dhofar 1729","H6","482",2011
"Dhofar 173","H6","293.1",2000
"Dhofar 1730","H6","1763",2011
"Dhofar 1731","H5","2222",2011
"Dhofar 1732","L6","782",2011
"Dhofar 1733","L3","7700",2011
"Dhofar 174","H6","312.9",2000
"Dhofar 175","H6","173",2000
"Dhofar 1753","LL7","21.5",2011
"Dhofar 1754","Howardite","580",2001
"Dhofar 176","H4","312",2000
"Dhofar 177","H6","21.5",2000
"Dhofar 178","L6","233.9",2000
"Dhofar 179","H5","193.3",2000
"Dhofar 180","H5","271.5",2000
"Dhofar 181","H5","238.9",2000
"Dhofar 182","Eucrite-mmict","255.1",2000
"Dhofar 183","L5","1606.3",2000
"Dhofar 184","L6","66.6",2000
"Dhofar 185","L6","516.2",2000
"Dhofar 186","L6","146",2000
"Dhofar 187","L5","3049.2",2000
"Dhofar 188","H4","234",2000
"Dhofar 189","H3.8","120",2000
"Dhofar 190","H4","90",2000
"Dhofar 191","H4","226",2000
"Dhofar 192","H4","4779",1999
"Dhofar 193","H4","582",2000
"Dhofar 194","H4","134",2000
"Dhofar 195","H3-5","2384",1999
"Dhofar 196","L6","584",1999
"Dhofar 197","H4","174.5",1999
"Dhofar 198","L5","828",1999
"Dhofar 199","H4","160",1999
"Dhofar 200","H4","1816",2000
"Dhofar 201","L5","139",1999
"Dhofar 202","H4-5","1178.1",2000
"Dhofar 203","H4","274",2000
"Dhofar 204","L6","41.4",2000
"Dhofar 205","H4-5","20",2000
"Dhofar 206","L3.7","190",2000
"Dhofar 207","H3.4/3.5","499.5",1999
"Dhofar 208","H3.9","12",2000
"Dhofar 209","H4","111",2001
"Dhofar 210","L4","272",2000
"Dhofar 211","H4","255",2001
"Dhofar 212","H3.9","1456",2000
"Dhofar 213","H5","256",2000
"Dhofar 214","H6","11",2001
"Dhofar 215","H4","86",2001
"Dhofar 216","L6","70",2001
"Dhofar 217","L6","602",2000
"Dhofar 218","H4","570",2001
"Dhofar 219","H5","99",2001
"Dhofar 220","H4","132",2001
"Dhofar 221","L5","3536",2000
"Dhofar 222","L5","5680",2000
